,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
238,31.0,0.7,20.0,0.6,7.616732834,7.715
239,40.0,0.7,20.0,0.6,7.616554441,7.7281265
240,4.0,0.2,32.0,0.6,4.091546596,4.1371813
241,13.0,0.2,32.0,0.6,4.185696731,4.2218857
242,22.0,0.2,32.0,0.6,4.197802347,4.2465835
243,31.0,0.2,32.0,0.6,4.199491199,4.25932
244,40.0,0.2,32.0,0.6,4.198050938,4.2682014
245,4.0,0.3,32.0,0.6,6.668871762,6.6395993
246,13.0,0.3,32.0,0.6,7.102986628,7.0853887
247,22.0,0.3,32.0,0.6,7.155452138,7.1471586
248,31.0,0.3,32.0,0.6,7.154153002,7.1900315
249,40.0,0.3,32.0,0.6,7.154572375,7.2022824
250,4.0,0.4,32.0,0.6,7.914005081,7.925277
251,13.0,0.4,32.0,0.6,8.946960528,8.979105
252,22.0,0.4,32.0,0.6,9.080181426,9.074827
253,31.0,0.4,32.0,0.6,9.081659056,9.123322
254,40.0,0.4,32.0,0.6,9.083362945,9.138292
255,4.0,0.5,32.0,0.6,8.596193132,8.565866
256,13.0,0.5,32.0,0.6,10.5829886,10.578631
257,22.0,0.5,32.0,0.6,10.84507192,10.86165
258,31.0,0.5,32.0,0.6,10.84803075,10.9185095
259,40.0,0.5,32.0,0.6,10.85029917,10.9091015
260,4.0,0.6,32.0,0.6,8.324201712,8.32328
261,13.0,0.6,32.0,0.6,11.38637578,11.306394
262,22.0,0.6,32.0,0.6,11.81458586,11.813153
263,31.0,0.6,32.0,0.6,11.82011175,11.874495
264,40.0,0.6,32.0,0.6,11.82321235,11.885979
265,4.0,0.7,32.0,0.6,7.709581974,7.7463717
266,13.0,0.7,32.0,0.6,11.94920609,11.913457
267,22.0,0.7,32.0,0.6,12.5597648,12.567042
268,31.0,0.7,32.0,0.6,12.5597648,12.663055
269,40.0,0.7,32.0,0.6,12.57574866,12.666923
270,4.0,0.2,8.0,0.8,0.005474118,0.024987997
271,13.0,0.2,8.0,0.8,0.005483883,0.036362734
272,22.0,0.2,8.0,0.8,0.005484985,0.039479017
273,31.0,0.2,8.0,0.8,0.005485004,0.031579643
274,40.0,0.2,8.0,0.8,0.005484932,0.040309064
275,4.0,0.3,8.0,0.8,0.615563221,0.6153283
276,13.0,0.3,8.0,0.8,0.624252686,0.62277216
277,22.0,0.3,8.0,0.8,0.624220596,0.6357508
278,31.0,0.3,8.0,0.8,0.624238327,0.6237052
279,40.0,0.3,8.0,0.8,0.62422005,0.62789404
280,4.0,0.4,8.0,0.8,0.868938264,0.9025961
281,13.0,0.4,8.0,0.8,0.903202484,0.9355831
282,22.0,0.4,8.0,0.8,0.903391053,0.94956374
283,31.0,0.4,8.0,0.8,0.903338377,0.9595141
284,40.0,0.4,8.0,0.8,0.903339383,0.92578596
285,4.0,0.5,8.0,0.8,1.526737077,1.569262
286,13.0,0.5,8.0,0.8,1.642975703,1.6668297
287,22.0,0.5,8.0,0.8,1.64329229,1.6586722
288,31.0,0.5,8.0,0.8,1.643500646,1.653139
289,40.0,0.5,8.0,0.8,1.466595474,1.6244649
290,4.0,0.6,8.0,0.8,1.915714571,1.9902322
291,13.0,0.6,8.0,0.8,2.149132822,2.2064002
292,22.0,0.6,8.0,0.8,2.149751468,2.2041714
293,31.0,0.6,8.0,0.8,2.149682479,2.2007306
294,40.0,0.6,8.0,0.8,2.150488919,2.2020965
295,4.0,0.7,8.0,0.8,2.190468899,2.2388928
296,13.0,0.7,8.0,0.8,2.575479657,2.6307669
297,22.0,0.7,8.0,0.8,2.575165467,2.628214
298,31.0,0.7,8.0,0.8,2.574285262,2.6266882
299,40.0,0.7,8.0,0.8,2.573358759,2.627815
300,4.0,0.2,20.0,0.8,1.735153892,1.7785531
301,13.0,0.2,20.0,0.8,1.766239193,1.8149124
302,22.0,0.2,20.0,0.8,1.767972508,1.8243691
303,31.0,0.2,20.0,0.8,1.768086552,1.8074636
304,40.0,0.2,20.0,0.8,1.322866841,1.5949287
305,4.0,0.3,20.0,0.8,3.331415247,3.3632548
306,13.0,0.3,20.0,0.8,3.500680713,3.51428
307,22.0,0.3,20.0,0.8,3.509514507,3.5469434
308,31.0,0.3,20.0,0.8,3.509644377,3.560043
309,40.0,0.3,20.0,0.8,3.50968718,3.5781116
310,4.0,0.4,20.0,0.8,4.541098105,4.616733
311,13.0,0.4,20.0,0.8,5.001624678,5.0410113
312,22.0,0.4,20.0,0.8,5.025168373,5.0667553
313,31.0,0.4,20.0,0.8,5.025801305,5.0835967
314,40.0,0.4,20.0,0.8,5.026117115,5.095307
315,4.0,0.5,20.0,0.8,5.467082621,5.550092
316,13.0,0.5,20.0,0.8,6.416324826,6.4514685
317,22.0,0.5,20.0,0.8,6.465266693,6.50192
318,31.0,0.5,20.0,0.8,6.46670125,6.52035
319,40.0,0.5,20.0,0.8,6.466503976,6.538582
320,4.0,0.6,20.0,0.8,5.821497517,5.848584
321,13.0,0.6,20.0,0.8,7.421635877,7.4087825
322,22.0,0.6,20.0,0.8,7.503501955,7.5101566
323,31.0,0.6,20.0,0.8,7.506466541,7.5194087
324,40.0,0.6,20.0,0.8,7.506282609,7.529597
325,4.0,0.7,20.0,0.8,5.542704338,5.6233582
326,13.0,0.7,20.0,0.8,7.781775754,7.7972364
327,22.0,0.7,20.0,0.8,7.89086906,7.9274926
328,31.0,0.7,20.0,0.8,7.89439855,7.939553
329,40.0,0.7,20.0,0.8,7.893269923,7.9598265
330,4.0,0.2,32.0,0.8,3.86283055,3.9379678
331,13.0,0.2,32.0,0.8,3.960004194,4.0404577
332,22.0,0.2,32.0,0.8,3.972899146,4.0617437
333,31.0,0.2,32.0,0.8,3.973073476,4.06917
334,40.0,0.2,32.0,0.8,3.972868174,4.0717077
335,4.0,0.3,32.0,0.8,6.366252699,6.3925943
336,13.0,0.3,32.0,0.8,6.795842434,6.837567
337,22.0,0.3,32.0,0.8,6.852186227,6.9067645
338,31.0,0.3,32.0,0.8,6.853063906,6.9342775
339,40.0,0.3,32.0,0.8,6.852836863,6.936604
340,4.0,0.4,32.0,0.8,8.199363019,8.229966
341,13.0,0.4,32.0,0.8,9.298949964,9.315566
342,22.0,0.4,32.0,0.8,9.452723467,9.475764
343,31.0,0.4,32.0,0.8,9.455225358,9.522039
344,40.0,0.4,32.0,0.8,9.455981038,9.540822
345,4.0,0.5,32.0,0.8,8.650017375,8.683872
346,13.0,0.5,32.0,0.8,10.6484612,10.645108
347,22.0,0.5,32.0,0.8,10.93938773,10.948614
